epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.783,1.29483,2.9776,1.5395,0.00632,0.95318,0.23644,0.10789,1.53466,3.63153,1.7884,0.00028,0.00028,0.00028
2,572.951,1.23055,2.36311,1.42646,0.07856,0.76143,0.3309,0.15909,1.50497,3.41145,1.7658,0.000568516,0.000568516,0.000568516
3,822.562,1.36954,2.17808,1.52392,0.55611,0.22631,0.30492,0.14192,1.72624,3.59971,2.17319,0.000845152,0.000845152,0.000845152
4,1055.4,1.47927,2.33056,1.66028,0.39428,0.18069,0.20596,0.0965,1.79843,3.57289,2.16805,0.00110991,0.00110991,0.00110991
5,1287.85,1.51623,2.17491,1.61579,0.47457,0.24638,0.25714,0.11283,2.02321,3.48737,2.32806,0.00136278,0.00136278,0.00136278
6,1516.42,1.46597,2.1132,1.57377,0.29434,0.24367,0.18881,0.08255,2.00039,3.44752,2.44992,0.00160378,0.00160378,0.00160378
7,1749.23,1.53702,2.22542,1.69281,0.34332,0.38875,0.28489,0.11436,2.01241,3.81057,2.59264,0.0017624,0.0017624,0.0017624
8,1988.97,1.53247,2.01842,1.63266,0.27672,0.36724,0.23301,0.07682,2.3286,3.75073,2.91558,0.0017228,0.0017228,0.0017228
9,2281.58,1.59191,2.05277,1.68972,0.36957,0.39911,0.30193,0.12545,2.27516,4.85623,2.67125,0.0016832,0.0016832,0.0016832
10,2546.55,1.39691,2.39299,1.53725,0.29703,0.33333,0.22756,0.09348,2.55329,4.67823,2.93673,0.0016436,0.0016436,0.0016436
11,2799.08,1.35865,2.26477,1.48738,0.33168,0.42601,0.295,0.12411,2.22177,5.03625,2.6142,0.001604,0.001604,0.001604
12,3054.72,1.37293,2.20762,1.50081,0.22493,0.30769,0.1961,0.08676,1.95164,3.50825,2.29485,0.0015644,0.0015644,0.0015644
13,3310.74,1.38119,1.77163,1.5167,0.29046,0.27425,0.20184,0.08355,2.17247,3.21262,2.49282,0.0015248,0.0015248,0.0015248
14,3551.47,1.42452,1.77223,1.58052,0.41756,0.43367,0.33614,0.14035,2.01094,3.08774,2.25277,0.0014852,0.0014852,0.0014852
15,3815.18,1.37634,1.72896,1.51302,0.51396,0.49631,0.46809,0.21336,1.98249,3.53357,2.32605,0.0014456,0.0014456,0.0014456
16,4068.15,1.29439,1.64171,1.44704,0.50444,0.45819,0.4357,0.2062,1.98554,2.49409,2.32468,0.001406,0.001406,0.001406
17,4326.79,1.38148,1.64359,1.53055,0.53046,0.41436,0.42685,0.21489,1.85203,2.7017,2.12639,0.0013664,0.0013664,0.0013664
18,4578.54,1.32553,1.56983,1.48618,0.54238,0.51839,0.48708,0.25396,1.74586,2.50718,2.02102,0.0013268,0.0013268,0.0013268
19,4828.89,1.33991,1.56075,1.49717,0.55702,0.57302,0.53656,0.27065,1.8147,2.36588,2.08865,0.0012872,0.0012872,0.0012872
20,5089.31,1.31895,1.45463,1.53596,0.54687,0.466,0.49678,0.26872,1.89499,2.26387,2.21932,0.0012476,0.0012476,0.0012476
21,5341.01,1.24748,1.4298,1.44718,0.63297,0.48606,0.56589,0.30706,1.80073,2.05056,2.12138,0.001208,0.001208,0.001208
22,5605.35,1.15528,1.92018,1.33009,0.58489,0.46711,0.50713,0.28073,1.76998,2.45731,2.07079,0.0011684,0.0011684,0.0011684
23,5853.81,1.2781,1.45118,1.46057,0.57526,0.53066,0.54235,0.29419,1.78645,2.19713,2.06638,0.0011288,0.0011288,0.0011288
24,6082.78,1.16006,1.36287,1.38233,0.54434,0.61093,0.58404,0.33141,1.70116,1.93148,2.01156,0.0010892,0.0010892,0.0010892
25,6306.16,1.32806,1.43404,1.49346,0.67772,0.55518,0.61968,0.35621,1.66253,1.86117,1.91866,0.0010496,0.0010496,0.0010496
26,6527.58,1.26921,1.4708,1.43655,0.62144,0.59478,0.6045,0.34755,1.71278,1.75125,2.0213,0.00101,0.00101,0.00101
27,6749.62,1.19815,1.35432,1.39708,0.60473,0.64984,0.63793,0.36005,1.64687,1.74858,1.94123,0.0009704,0.0009704,0.0009704
28,6973.81,1.17408,1.30526,1.40085,0.62534,0.59086,0.61659,0.34852,1.622,1.82657,1.9557,0.0009308,0.0009308,0.0009308
29,7196.44,1.1297,1.40501,1.40456,0.62505,0.65663,0.65395,0.38715,1.63501,1.57031,1.96592,0.0008912,0.0008912,0.0008912
30,7417.71,1.11451,1.3147,1.35605,0.62021,0.60758,0.6327,0.36926,1.63687,1.70316,2.0145,0.0008516,0.0008516,0.0008516
31,7638.73,1.03919,1.25842,1.28075,0.6671,0.59309,0.63302,0.37754,1.57992,1.63841,1.9598,0.000812,0.000812,0.000812
32,7860.82,1.16466,1.25045,1.4183,0.6001,0.58082,0.59561,0.33257,1.63748,1.78959,1.94845,0.0007724,0.0007724,0.0007724
33,8081.6,1.0198,1.1769,1.29293,0.66981,0.59978,0.65125,0.39463,1.62979,1.61405,1.90002,0.0007328,0.0007328,0.0007328
34,8301.63,1.05975,1.16826,1.31759,0.67496,0.6689,0.68829,0.42781,1.46078,1.46004,1.77615,0.0006932,0.0006932,0.0006932
35,8523.87,1.31413,1.63556,1.50599,0.68848,0.6677,0.68156,0.42243,1.50357,1.45897,1.82182,0.0006536,0.0006536,0.0006536
36,8745.34,0.9901,1.09867,1.25501,0.66337,0.7008,0.69057,0.43024,1.5007,1.42009,1.86517,0.000614,0.000614,0.000614
37,8968.12,0.99696,1.10362,1.27548,0.69825,0.65266,0.68384,0.43397,1.50486,1.478,1.87432,0.0005744,0.0005744,0.0005744
38,9189.78,0.99737,1.08939,1.27252,0.70387,0.68673,0.70579,0.45657,1.44626,1.43774,1.7531,0.0005348,0.0005348,0.0005348
39,9412.3,0.93962,1.11083,1.22679,0.77118,0.67001,0.72643,0.47289,1.33889,1.37863,1.65782,0.0004952,0.0004952,0.0004952
40,9632.7,0.87531,1.49462,1.15644,0.74304,0.72213,0.7395,0.48891,1.33666,1.32109,1.66262,0.0004556,0.0004556,0.0004556
41,9855.3,0.924,1.35583,1.24357,0.72302,0.73579,0.73741,0.47933,1.35539,1.35871,1.65665,0.000416,0.000416,0.000416
42,10087.6,0.82573,0.94411,1.15284,0.73657,0.67001,0.71518,0.46646,1.39757,1.4883,1.69476,0.0003764,0.0003764,0.0003764
43,10314.4,0.84397,0.95925,1.17872,0.7501,0.68932,0.73897,0.48298,1.38102,1.42633,1.70118,0.0003368,0.0003368,0.0003368
44,10546,0.84599,0.9746,1.20101,0.77352,0.712,0.75472,0.48967,1.3788,1.32469,1.70753,0.0002972,0.0002972,0.0002972
45,10774.6,0.87316,0.91399,1.21864,0.76045,0.7447,0.76307,0.50147,1.33384,1.31246,1.66788,0.0002576,0.0002576,0.0002576
46,10996.1,0.84771,1.09939,1.1753,0.77682,0.73244,0.7701,0.50479,1.31939,1.29294,1.65924,0.000218,0.000218,0.000218
47,11428.9,0.94954,1.09307,1.30016,0.77643,0.73467,0.77284,0.51016,1.31468,1.29342,1.62955,0.0001784,0.0001784,0.0001784
48,11654.1,0.87139,0.99284,1.26597,0.78602,0.7146,0.77064,0.51555,1.33923,1.25359,1.64672,0.0001388,0.0001388,0.0001388
49,11874.7,0.73831,0.81825,1.14094,0.7886,0.7153,0.77138,0.51796,1.32769,1.22999,1.64811,9.92e-05,9.92e-05,9.92e-05
50,12096.2,0.69269,0.75956,1.10729,0.78986,0.72076,0.77414,0.52146,1.29488,1.23003,1.63238,5.96e-05,5.96e-05,5.96e-05
